,lemma_18_20m,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,lemma_21_23m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,lemma_24_26m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,lemma_27_29m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,lemma_30_32m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,lemma_33_40m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
0,mama,307.0,0.4410919540229885,131.0,0.6683673469387755,mama,367.0,0.2871674491392801,163.0,0.6293436293436293,mama,482.0,0.25597450876261285,213.0,0.641566265060241,ja,508.0,0.26024590163934425,174.0,0.5132743362831859,ja,758.0,0.3304272013949433,243.0,0.6344647519582245,ja,1171,0.4158380681818182,364,0.7383367139959433
1,dać,179.0,0.257183908045977,96.0,0.4897959183673469,nie,256.0,0.20031298904538342,106.0,0.4092664092664093,nie,342.0,0.1816250663834307,156.0,0.46987951807228917,mama,484.0,0.24795081967213115,207.0,0.6106194690265486,być,570.0,0.24847428073234526,214.0,0.5587467362924282,być,981,0.3483664772727273,342,0.6937119675456389
2,tata,153.0,0.21982758620689655,89.0,0.45408163265306123,mieć,209.0,0.16353677621283255,94.0,0.36293436293436293,ja,324.0,0.17206585236325014,145.0,0.4367469879518072,być,430.0,0.22028688524590165,176.0,0.5191740412979351,do,439.0,0.1913687881429817,218.0,0.5691906005221932,do,673,0.23899147727272727,319,0.6470588235294118
3,be,91.0,0.1307471264367816,53.0,0.27040816326530615,dać,192.0,0.15023474178403756,115.0,0.444015444015444,być,305.0,0.16197557089750397,131.0,0.39457831325301207,nie,385.0,0.19723360655737704,169.0,0.49852507374631266,nie,428.0,0.18657367044463818,202.0,0.5274151436031331,nie,587,0.20845170454545456,285,0.5780933062880325
4,nie,88.0,0.12643678160919541,41.0,0.20918367346938777,tata,179.0,0.14006259780907668,112.0,0.43243243243243246,tata,284.0,0.15082315454062667,171.0,0.5150602409638554,do,342.0,0.17520491803278687,169.0,0.49852507374631266,mama,366.0,0.15954664341761116,180.0,0.4699738903394256,chcieć,576,0.20454545454545456,267,0.5415821501014199
5,iść,81.0,0.11637931034482758,53.0,0.27040816326530615,ja,146.0,0.11424100156494522,70.0,0.2702702702702703,iść,272.0,0.14445034519383962,150.0,0.45180722891566266,chcieć,317.0,0.16239754098360656,152.0,0.44837758112094395,chcieć,360.0,0.15693112467306017,171.0,0.4464751958224543,iść,525,0.1864346590909091,278,0.563894523326572
6,mieć,77.0,0.11063218390804598,45.0,0.22959183673469388,być,134.0,0.10485133020344288,61.0,0.23552123552123552,do,252.0,0.13382899628252787,129.0,0.3885542168674699,iść,301.0,0.15420081967213115,161.0,0.4749262536873156,iść,354.0,0.15431560592850915,197.0,0.5143603133159269,na,456,0.16193181818181818,252,0.5111561866125761
7,ja,69.0,0.09913793103448276,38.0,0.19387755102040816,iść,132.0,0.10328638497652583,79.0,0.305019305019305,dać,250.0,0.1327668613913967,147.0,0.4427710843373494,tata,257.0,0.13165983606557377,141.0,0.415929203539823,na,300.0,0.13077593722755013,161.0,0.42036553524804177,i,422,0.14985795454545456,193,0.39148073022312374
8,chodzić,61.0,0.08764367816091954,37.0,0.18877551020408162,chcieć,131.0,0.10250391236306729,59.0,0.2277992277992278,mieć,216.0,0.11471056824216676,126.0,0.3795180722891566,mieć,217.0,0.11116803278688525,130.0,0.3834808259587021,się,266.0,0.11595466434176112,154.0,0.402088772845953,się,411,0.14595170454545456,231,0.4685598377281947
9,to,60.0,0.08620689655172414,38.0,0.19387755102040816,do,109.0,0.08528951486697965,58.0,0.22393822393822393,chcieć,208.0,0.11046202867764206,112.0,0.3373493975903614,dać,212.0,0.10860655737704918,138.0,0.40707964601769914,i,264.0,0.11508282476024412,117.0,0.30548302872062666,mama,402,0.14275568181818182,214,0.4340770791075051
10,tu,57.0,0.08189655172413793,38.0,0.19387755102040816,tu,105.0,0.08215962441314555,53.0,0.20463320463320464,na,154.0,0.08178438661710037,90.0,0.2710843373493976,na,201.0,0.10297131147540983,114.0,0.336283185840708,mieć,257.0,0.11203138622493461,149.0,0.38903394255874674,to,382,0.1356534090909091,202,0.40973630831643004
11,brum,56.0,0.08045977011494253,18.0,0.09183673469387756,to,99.0,0.07746478873239436,57.0,0.22007722007722008,to,149.0,0.07912904938927244,96.0,0.2891566265060241,się,198.0,0.1014344262295082,110.0,0.32448377581120946,dać,247.0,0.1076721883173496,156.0,0.4073107049608355,z,345,0.12251420454545454,208,0.42190669371196754
