,lemma,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
1038,ja,1929,0.48984255967496193,587,0.693034238488784
360,być,1551,0.39385474860335196,534,0.6304604486422668
603,do,1112,0.2823768410360589,519,0.6127508854781583
1920,nie,1015,0.25774504824784156,473,0.5584415584415584
389,chcieć,936,0.23768410360589132,424,0.500590318772137
1036,iść,879,0.22320975114271205,459,0.5419126328217237
1645,mama,768,0.19502285424073135,387,0.45690672963400236
1854,na,756,0.19197562214321992,405,0.4781582054309327
998,i,686,0.17420010157440324,304,0.358913813459268
2889,się,677,0.17191467750126968,375,0.4427390791027155
3188,to,617,0.15667851701371255,324,0.3825265643447462
3587,z,554,0.14068054850177755,330,0.38961038961038963
1738,mieć,544,0.13814118842051804,329,0.3884297520661157
571,dać,520,0.13204672422549518,333,0.39315230224321135
3137,tata,484,0.12290502793296089,299,0.3530106257378985
1653,mamo,434,0.11020822752666327,243,0.28689492325855964
3369,w,420,0.10665312341289995,267,0.3152302243211334
141,babcia,391,0.09928897917724733,272,0.32113341204250295
3257,ty,376,0.09547993905535805,240,0.2833530106257379
38,a,343,0.08710005078720162,192,0.22668240850059032
1843,mój,314,0.07973590655154901,215,0.2538370720188902
1079,jechać,261,0.06627729812087355,187,0.22077922077922077
2959,spać,252,0.06399187404773997,197,0.23258559622195984
260,bo,249,0.06323006602336212,151,0.1782762691853601
2682,pójść,244,0.061960385982732354,173,0.20425029515938606
1469,kupić,228,0.057897409852717116,174,0.20543093270365997
1842,móc,227,0.05764347384459116,160,0.18890200708382526
2576,przedszkole,225,0.05713560182833926,156,0.18417945690672963
3159,ten,220,0.055865921787709494,145,0.17119244391971664
1056,jak,215,0.054596241747079735,125,0.14757969303423848
1140,już,215,0.054596241747079735,150,0.1770956316410862
174,bajka,210,0.053326561706449976,174,0.20543093270365997
2316,pić,205,0.05205688166582021,183,0.21605667060212513
496,co,205,0.05205688166582021,142,0.16765053128689492
860,gdzie,203,0.05154900964956831,156,0.18417945690672963
2105,on,198,0.05027932960893855,129,0.15230224321133412
407,chodzić,196,0.04977145759268664,145,0.17119244391971664
3242,tu,194,0.04926358557643474,119,0.14049586776859505
2542,praca,193,0.049009649568308784,152,0.179456906729634
3782,zrobić,188,0.047739969527679026,145,0.17119244391971664
2417,pojechać,182,0.04621635347892331,132,0.15584415584415584
1103,jeść,169,0.04291518537328593,144,0.17001180637544275
1299,kochać,166,0.042153377348908075,131,0.15466351829988192
207,bawić,160,0.04062976130015236,125,0.14757969303423848
731,dzisiaj,154,0.03910614525139665,104,0.12278630460448642
1658,mamusia,145,0.03682072117826308,97,0.11452184179456906
3584,włączyć,143,0.036312849162011177,120,0.14167650531286896
1580,lubić,139,0.035297105129507365,106,0.12514757969303425
542,czy,133,0.03377348908075165,85,0.10035419126328217
3144,tatuś,132,0.0335195530726257,86,0.10153482880755609
3129,tam,132,0.0335195530726257,98,0.11570247933884298
2738,robić,118,0.029964448958862366,95,0.11216056670602124
2361,po,115,0.02920264093448451,92,0.10861865407319952
3140,tato,114,0.028948704926358558,79,0.09327036599763873
2905,sklep,111,0.0281868969019807,95,0.11216056670602124
669,duży,111,0.0281868969019807,88,0.1038961038961039
1822,musieć,105,0.026663280853224988,83,0.09799291617473435
473,ciocia,103,0.026155408836973083,83,0.09799291617473435
1096,jeszcze,101,0.025647536820721177,75,0.0885478158205431
192,bardzo,98,0.02488572879634332,80,0.09445100354191263
2363,pobawić,96,0.02437785678009142,79,0.09327036599763873
2604,przyjść,95,0.024123920771965464,79,0.09327036599763873
2004,o,95,0.024123920771965464,69,0.08146399055489964
1246,kiedy,94,0.023869984763839513,75,0.0885478158205431
947,głodny,92,0.023362112747587607,84,0.09917355371900827
688,dziadek,89,0.02260030472320975,70,0.08264462809917356
275,boleć,87,0.022092432706957845,74,0.08736717827626919
2953,spacer,86,0.021838496698831894,74,0.08736717827626919
3125,taki,86,0.021838496698831894,65,0.07674144037780402
216,be,82,0.020822752666328086,43,0.05076741440377804
2181,pani,77,0.019553072625698324,62,0.07319952774498228
3123,tak,76,0.019299136617572373,54,0.06375442739079103
2057,oglądać,74,0.018791264601320468,64,0.0755608028335301
1786,mleko,73,0.018537328593194517,63,0.0743801652892562
1707,mały,73,0.018537328593194517,58,0.06847697756788666
72,ale,72,0.018283392585068562,54,0.06375442739079103
2823,samochód,71,0.01802945657694261,56,0.06611570247933884
1137,jutro,71,0.01802945657694261,61,0.07201889020070838
3163,teraz,71,0.01802945657694261,59,0.06965761511216056
616,dom,71,0.01802945657694261,59,0.06965761511216056
3252,tutaj,70,0.017775520568816656,54,0.06375442739079103
3171,też,70,0.017775520568816656,52,0.06139315230224321
503,coś,69,0.017521584560690705,55,0.06493506493506493
2866,sik,69,0.017521584560690705,61,0.07201889020070838
2817,sam,67,0.0170137125444388,57,0.06729634002361275
3770,zobaczyć,66,0.01675977653631285,49,0.05785123966942149
2560,prosić,66,0.01675977653631285,53,0.06257378984651712
422,choć,65,0.016505840528186898,51,0.0602125147579693
3590,zabawa,65,0.016505840528186898,60,0.07083825265643448
3070,szkoła,64,0.016251904520060943,53,0.06257378984651712
2333,plac,62,0.01574403250380904,57,0.06729634002361275
742,dziś,62,0.01574403250380904,46,0.05430932703659976
1375,kotka,62,0.01574403250380904,46,0.05430932703659976
1829,my,60,0.015236160487557136,49,0.05785123966942149
2601,przyjechać,60,0.015236160487557136,51,0.0602125147579693
677,dwór,59,0.014982224479431183,52,0.06139315230224321
139,baba,58,0.014728288471305232,46,0.05430932703659976
3740,zjeść,57,0.014474352463179279,51,0.0602125147579693
1281,klocek,55,0.013966480446927373,50,0.0590318772136954
1057,jaki,55,0.013966480446927373,50,0.0590318772136954
598,dla,52,0.013204672422549517,39,0.04604486422668241
2524,powiedzieć,51,0.012950736414423566,40,0.047225501770956316
3591,zabawka,50,0.012696800406297613,44,0.05194805194805195
711,dziecko,50,0.012696800406297613,41,0.048406139315230225
2011,obiad,50,0.012696800406297613,46,0.05430932703659976
1779,miś,48,0.01218892839004571,39,0.04604486422668241
123,auto,48,0.01218892839004571,42,0.049586776859504134
