,lemat,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
1037,ja,1929,0.4897182025894897,587,0.693034238488784
359,być,1551,0.39375476009139376,534,0.6304604486422668
602,do,1112,0.2823051535922823,519,0.6127508854781583
1919,nie,1015,0.2576796141152577,473,0.5584415584415584
388,chcieć,936,0.2376237623762376,424,0.500590318772137
1035,iść,879,0.22315308453922314,459,0.5419126328217237
1644,mama,768,0.19497334348819498,387,0.45690672963400236
1853,na,756,0.19192688499619193,405,0.4781582054309327
997,i,686,0.17415587712617417,304,0.358913813459268
2888,się,677,0.17187103325717187,375,0.4427390791027155
3187,to,617,0.15663874079715664,324,0.3825265643447462
3586,z,554,0.14064483371414063,330,0.38961038961038963
1737,mieć,544,0.1381061183041381,329,0.3884297520661157
570,dać,520,0.132013201320132,333,0.39315230224321135
3136,tata,484,0.12287382584412287,299,0.3530106257378985
1652,mamo,434,0.11018024879411017,243,0.28689492325855964
3368,w,420,0.10662604722010663,267,0.3152302243211334
141,babcia,391,0.09926377253109926,272,0.32113341204250295
3256,ty,376,0.09545569941609545,240,0.2833530106257379
38,a,343,0.08707793856308708,192,0.22668240850059032
1842,mój,314,0.07971566387407972,215,0.2538370720188902
1079,jechać,261,0.06626047220106626,187,0.22077922077922077
2958,spać,252,0.06397562833206398,197,0.23258559622195984
260,bo,249,0.06321401370906321,151,0.1782762691853601
2681,pójść,244,0.061944656004061946,173,0.20425029515938606
1469,kupić,228,0.057882711348057884,174,0.20543093270365997
1841,móc,227,0.05762883980705763,160,0.18890200708382526
2575,przedszkole,225,0.05712109672505712,156,0.18417945690672963
3158,ten,220,0.05585173902005585,145,0.17119244391971664
1140,już,215,0.054582381315054586,150,0.1770956316410862
1055,jak,214,0.05432850977405433,125,0.14757969303423848
174,bajka,210,0.053313023610053314,174,0.20543093270365997
2315,pić,205,0.05204366590505204,183,0.21605667060212513
495,co,205,0.05204366590505204,142,0.16765053128689492
859,gdzie,203,0.051535922823051535,156,0.18417945690672963
2104,on,198,0.05026656511805026,129,0.15230224321133412
406,chodzić,196,0.04975882203604976,145,0.17119244391971664
3241,tu,194,0.04925107895404925,119,0.14049586776859505
2541,praca,193,0.048997207413049,152,0.179456906729634
3781,zrobić,188,0.04772784970804773,145,0.17119244391971664
2416,pojechać,182,0.0462046204620462,132,0.15584415584415584
1103,jeść,169,0.0429042904290429,144,0.17001180637544275
1299,kochać,166,0.04214267580604214,131,0.15466351829988192
207,bawić,160,0.04061944656004062,125,0.14757969303423848
730,dzisiaj,154,0.039096217314039096,104,0.12278630460448642
1657,mamusia,145,0.036811373445036814,97,0.11452184179456906
3583,włączyć,143,0.036303630363036306,120,0.14167650531286896
1579,lubić,139,0.03528814419903529,106,0.12514757969303425
541,czy,133,0.03376491495303376,85,0.10035419126328217
3143,tatuś,132,0.03351104341203351,86,0.10153482880755609
3128,tam,132,0.03351104341203351,98,0.11570247933884298
2737,robić,118,0.029956841838029956,95,0.11216056670602124
2360,po,115,0.029195227215029197,92,0.10861865407319952
3139,tato,114,0.028941355674028942,79,0.09327036599763873
2904,sklep,111,0.02817974105102818,95,0.11216056670602124
668,duży,111,0.02817974105102818,88,0.1038961038961039
1821,musieć,105,0.026656511805026657,83,0.09799291617473435
472,ciocia,103,0.02614876872302615,83,0.09799291617473435
1096,jeszcze,101,0.02564102564102564,75,0.0885478158205431
192,bardzo,98,0.02487941101802488,80,0.09445100354191263
2362,pobawić,96,0.024371667936024372,79,0.09327036599763873
2003,o,95,0.024117796395024118,69,0.08146399055489964
2603,przyjść,95,0.024117796395024118,79,0.09327036599763873
1246,kiedy,94,0.023863924854023864,75,0.0885478158205431
946,głodny,92,0.023356181772023355,84,0.09917355371900827
687,dziadek,89,0.022594567149022596,70,0.08264462809917356
274,boleć,87,0.022086824067022087,74,0.08736717827626919
3124,taki,86,0.021832952526021833,65,0.07674144037780402
2952,spacer,86,0.021832952526021833,74,0.08736717827626919
216,be,82,0.020817466362020816,43,0.05076741440377804
