,slowo,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
853,do,1112,0.18567373518116548,519,0.6127508854781583
2841,nie,1015,0.1694773751878444,473,0.5584415584415584
2503,mi,935,0.15611955251294038,443,0.5230224321133412
2721,na,756,0.1262314242778427,405,0.4781582054309327
2391,mama,712,0.11888462180664551,358,0.42266824085005905
1406,i,686,0.11454332943730172,304,0.358913813459268
1468,ja,652,0.10886625480046752,287,0.33884297520661155
4317,się,630,0.10519285356486893,361,0.42621015348288077
2401,mamo,571,0.09534145934212723,290,0.34238488783943327
1572,jest,570,0.09517448655869093,323,0.38134592680047225
533,chcę,565,0.09433962264150944,297,0.35064935064935066
4773,to,563,0.09400567707463683,299,0.3530106257378985
5405,z,446,0.07446986141258975,281,0.3317591499409681
5056,w,420,0.07012856904324595,266,0.3140495867768595
4703,tata,405,0.06762397729170146,263,0.3105076741440378
779,daj,402,0.06712305894139255,276,0.32585596221959856
5,a,343,0.05727166471865086,192,0.22668240850059032
1420,idziemy,317,0.052930372349307066,212,0.2502951593860685
515,chce,269,0.04491567874436467,171,0.20188902007083825
1573,jestem,264,0.04408081482718317,188,0.22195985832349469
319,bo,249,0.04157622307563867,151,0.1782762691853601
2602,mnie,249,0.04157622307563867,173,0.20425029515938606
1641,już,215,0.03589914843880448,150,0.1770956316410862
1496,jak,214,0.035732175655368174,125,0.14757969303423848
1214,gdzie,203,0.03389547503756887,156,0.18417945690672963
4842,tu,194,0.03239271998664218,119,0.14049586776859505
3770,pracy,191,0.031891801636333275,150,0.1770956316410862
130,babci,187,0.03122391050258808,155,0.18299881936245574
1425,idę,184,0.03072299215227918,129,0.15230224321133412
683,co,180,0.03005510101853398,125,0.14757969303423848
488,będę,171,0.02855234596760728,118,0.13931523022432113
1466,iść,170,0.02838537318417098,129,0.15230224321133412
2319,ma,166,0.02771748205042578,118,0.13931523022432113
177,bajkę,158,0.02638169978293538,135,0.15938606847697756
4428,spać,155,0.025880781432626482,136,0.16056670602125148
1044,dzisiaj,154,0.025713808649190182,104,0.12278630460448642
3815,przedszkola,153,0.025546835865753882,120,0.14167650531286896
2411,mamusiu,148,0.024711971948572383,89,0.1050767414403778
2617,mogę,147,0.024544999165136083,115,0.1357733175914994
2390,mam,146,0.024378026381699783,117,0.1381345926800472
560,chodź,142,0.023710135247954584,105,0.12396694214876033
757,czy,133,0.022207380197027886,85,0.10035419126328217
4693,tam,132,0.022040407413591586,98,0.11570247933884298
1843,kocham,131,0.021873434630155286,112,0.1322314049586777
3401,pić,127,0.021205543496410083,117,0.1381345926800472
131,babcia,125,0.020871597929537484,108,0.12750885478158205
3985,pójdziemy,121,0.020203706795792285,99,0.11688311688311688
5393,włącz,116,0.019368842878610786,100,0.1180637544273908
3462,po,115,0.019201870095174486,92,0.10861865407319952
1587,jeść,114,0.019034897311738186,105,0.12396694214876033
4707,tato,113,0.018867924528301886,78,0.09208972845336481
1550,jedziemy,110,0.018367006177992987,83,0.09799291617473435
677,cię,109,0.018200033394556687,91,0.10743801652892562
5596,ze,108,0.018033060611120387,90,0.10625737898465171
2702,mój,106,0.017699115044247787,92,0.10861865407319952
2300,lubię,103,0.017198196693938888,85,0.10035419126328217
1578,jeszcze,101,0.01686425112706629,75,0.0885478158205431
3558,pojedziemy,100,0.01669727834362999,83,0.09799291617473435
1417,idzie,99,0.01653030556019369,75,0.0885478158205431
2962,o,95,0.01586241442644849,69,0.08146399055489964
1779,kiedy,94,0.01569544164301219,75,0.0885478158205431
4865,ty,93,0.01552846885957589,74,0.08736717827626919
2604,mną,91,0.01519452329270329,76,0.089728453364817
4343,sklepu,90,0.01502755050926699,81,0.09563164108618655
484,będzie,88,0.014693604942394389,65,0.07674144037780402
225,bawić,88,0.014693604942394389,75,0.0885478158205431
200,bardzo,86,0.01435965937552179,70,0.08264462809917356
4408,spacer,77,0.012856904324595091,66,0.07792207792207792
2626,moje,76,0.012689931541158791,66,0.07792207792207792
4681,tak,76,0.012689931541158791,54,0.06375442739079103
52,am,75,0.012522958757722491,39,0.04604486422668241
3198,pani,75,0.012522958757722491,61,0.07201889020070838
614,ci,75,0.012522958757722491,61,0.07201889020070838
485,będziemy,73,0.012189013190849892,58,0.06847697756788666
45,ale,72,0.012022040407413592,54,0.06375442739079103
1638,jutro,71,0.011855067623977292,61,0.07201889020070838
4747,teraz,71,0.011855067623977292,59,0.06965761511216056
4855,tutaj,70,0.011688094840540992,54,0.06375442739079103
3819,przedszkolu,70,0.011688094840540992,54,0.06375442739079103
342,boli,70,0.011688094840540992,58,0.06847697756788666
4757,też,70,0.011688094840540992,52,0.06139315230224321
5913,śpi,70,0.011688094840540992,59,0.06965761511216056
4290,siku,69,0.011521122057104692,61,0.07201889020070838
690,coś,68,0.011354149273668393,54,0.06375442739079103
2625,moja,67,0.011187176490232093,61,0.07201889020070838
4727,tego,66,0.011020203706795793,59,0.06965761511216056
4716,tatuś,66,0.011020203706795793,51,0.0602125147579693
4632,są,65,0.010853230923359493,51,0.0602125147579693
4743,ten,65,0.010853230923359493,48,0.05667060212514758
5756,zrób,64,0.010686258139923193,58,0.06847697756788666
1057,dziś,62,0.010352312573050592,46,0.05430932703659976
3799,proszę,62,0.010352312573050592,50,0.0590318772136954
2595,mleko,62,0.010352312573050592,55,0.06493506493506493
1963,kotek,61,0.010185339789614292,45,0.053128689492325853
584,choć,61,0.010185339789614292,48,0.05667060212514758
5408,zabaw,61,0.010185339789614292,56,0.06611570247933884
2119,kup,60,0.010018367006177992,49,0.05785123966942149
882,domu,59,0.009851394222741693,49,0.05785123966942149
954,duży,57,0.009517448655869093,46,0.05430932703659976
3427,plac,56,0.009350475872432793,52,0.06139315230224321
3854,przyjdzie,55,0.009183503088996493,45,0.053128689492325853
846,dla,52,0.008682584738687594,39,0.04604486422668241
968,dwór,51,0.008515611955251294,46,0.05430932703659976
4601,szkoły,51,0.008515611955251294,44,0.05194805194805195
636,ciebie,51,0.008515611955251294,42,0.049586776859504134
133,babciu,51,0.008515611955251294,39,0.04604486422668241
2452,masz,50,0.008348639171814994,43,0.05076741440377804
2653,może,49,0.008181666388378694,34,0.04014167650531287
3098,on,49,0.008181666388378694,36,0.04250295159386069
1338,głodna,49,0.008181666388378694,47,0.05548996458087367
654,ciocia,49,0.008181666388378694,41,0.048406139315230225
5711,zobacz,47,0.007847720821506095,36,0.04250295159386069
1548,jedzie,47,0.007847720821506095,39,0.04604486422668241
3044,oglądać,47,0.007847720821506095,41,0.048406139315230225
4271,sie,46,0.007680748038069795,29,0.03423848878394333
847,dlaczego,46,0.007680748038069795,39,0.04604486422668241
5406,za,46,0.007680748038069795,42,0.049586776859504134
1574,jesteś,45,0.007513775254633495,38,0.0448642266824085
472,byłem,45,0.007513775254633495,30,0.03541912632821724
2970,obiad,45,0.007513775254633495,43,0.05076741440377804
4897,u,45,0.007513775254633495,41,0.048406139315230225
4872,tylko,44,0.0073468024711971945,40,0.047225501770956316
4382,sobie,44,0.0073468024711971945,37,0.043683589138134596
2675,muszę,44,0.0073468024711971945,36,0.04250295159386069
5963,że,43,0.007179829687760895,38,0.0448642266824085
4714,tatusiu,42,0.007012856904324595,29,0.03423848878394333
127,baba,42,0.007012856904324595,34,0.04014167650531287
1340,głodny,42,0.007012856904324595,39,0.04604486422668241
3864,przyjedzie,41,0.006845884120888295,34,0.04014167650531287
653,cioci,41,0.006845884120888295,38,0.0448642266824085
980,dziadek,41,0.006845884120888295,34,0.04014167650531287
1821,klocki,40,0.006678911337451995,37,0.043683589138134596
953,dużo,40,0.006678911337451995,30,0.03541912632821724
3303,piciu,40,0.006678911337451995,39,0.04604486422668241
4313,siusiu,40,0.006678911337451995,37,0.043683589138134596
775,da,39,0.006511938554015695,27,0.031877213695395513
4621,szybko,38,0.006344965770579396,33,0.03896103896103896
4221,samochód,38,0.006344965770579396,29,0.03423848878394333
1483,jadę,38,0.006344965770579396,32,0.03778040141676505
1533,jechać,37,0.006177992987143096,35,0.04132231404958678
1012,dzieci,37,0.006177992987143096,30,0.03541912632821724
2169,kąpać,36,0.006011020203706796,31,0.03659976387249114
4069,robi,36,0.006011020203706796,28,0.03305785123966942
424,bum,36,0.006011020203706796,14,0.01652892561983471
3555,pojechał,36,0.006011020203706796,32,0.03778040141676505
5747,zrobić,36,0.006011020203706796,33,0.03896103896103896
3987,pójdę,35,0.005844047420270496,29,0.03423848878394333
2269,lizaka,35,0.005844047420270496,32,0.03778040141676505
175,bajki,35,0.005844047420270496,33,0.03896103896103896
2130,kupisz,34,0.005677074636834196,32,0.03778040141676505
2484,mały,34,0.005677074636834196,29,0.03423848878394333
4720,tatą,34,0.005677074636834196,29,0.03423848878394333
5964,żeby,34,0.005677074636834196,31,0.03659976387249114
4203,sam,34,0.005677074636834196,28,0.03305785123966942
1426,idź,33,0.0055101018533978965,28,0.03305785123966942
4884,tą,33,0.0055101018533978965,28,0.03305785123966942
470,byłam,33,0.0055101018533978965,28,0.03305785123966942
4050,razem,33,0.0055101018533978965,27,0.031877213695395513
3467,pobawić,32,0.005343129069961597,30,0.03541912632821724
5403,xxx,32,0.005343129069961597,26,0.030696576151121605
4684,taki,32,0.005343129069961597,24,0.02833530106257379
4779,tobą,32,0.005343129069961597,28,0.03305785123966942
1422,idziesz,32,0.005343129069961597,25,0.0295159386068477
3661,poproszę,32,0.005343129069961597,27,0.031877213695395513
1682,kanapkę,31,0.005176156286525296,29,0.03423848878394333
3706,poszła,31,0.005176156286525296,26,0.030696576151121605
2655,możesz,31,0.005176156286525296,24,0.02833530106257379
2910,no,30,0.005009183503088996,27,0.031877213695395513
391,brzuszek,29,0.004842210719652696,24,0.02833530106257379
1499,jaki,29,0.004842210719652696,28,0.03305785123966942
5414,zabawki,29,0.004842210719652696,27,0.031877213695395513
5642,zimno,29,0.004842210719652696,26,0.030696576151121605
4719,taty,29,0.004842210719652696,25,0.0295159386068477
2124,kupi,29,0.004842210719652696,25,0.0295159386068477
2131,kupić,28,0.0046752379362163966,27,0.031877213695395513
950,duża,28,0.0046752379362163966,24,0.02833530106257379
3714,potem,28,0.0046752379362163966,21,0.024793388429752067
474,było,28,0.0046752379362163966,24,0.02833530106257379
4204,sama,27,0.004508265152780097,24,0.02833530106257379
1228,go,27,0.004508265152780097,24,0.02833530106257379
3577,pokoju,27,0.004508265152780097,26,0.030696576151121605
3157,pa,27,0.004508265152780097,13,0.015348288075560802
5663,zjeść,27,0.004508265152780097,27,0.031877213695395513
4409,spacerek,27,0.004508265152780097,25,0.0295159386068477
442,buty,27,0.004508265152780097,26,0.030696576151121605
2074,kto,27,0.004508265152780097,24,0.02833530106257379
469,była,27,0.004508265152780097,24,0.02833530106257379
1411,ide,27,0.004508265152780097,21,0.024793388429752067
5128,wiesz,27,0.004508265152780097,22,0.025974025974025976
468,był,27,0.004508265152780097,24,0.02833530106257379
2414,mamuś,26,0.004341292369343797,12,0.014167650531286895
4831,trzeba,26,0.004341292369343797,21,0.024793388429752067
111,auto,26,0.004341292369343797,23,0.02715466351829988
2793,nas,26,0.004341292369343797,23,0.02715466351829988
981,dziadka,26,0.004341292369343797,24,0.02833530106257379
2417,mamy,25,0.004174319585907497,22,0.025974025974025976
2409,mamusia,25,0.004174319585907497,21,0.024793388429752067
4994,umyć,25,0.004174319585907497,24,0.02833530106257379
4075,robić,25,0.004174319585907497,23,0.02715466351829988
2537,mikołaj,25,0.004174319585907497,22,0.025974025974025976
3702,poszedł,25,0.004174319585907497,23,0.02715466351829988
4668,ta,25,0.004174319585907497,23,0.02715466351829988
3499,poczytaj,24,0.004007346802471197,22,0.025974025974025976
5473,zakupy,24,0.004007346802471197,23,0.02715466351829988
1530,je,24,0.004007346802471197,19,0.02243211334120425
5522,zaraz,24,0.004007346802471197,22,0.025974025974025976
3465,pobawimy,24,0.004007346802471197,24,0.02833530106257379
3003,od,24,0.004007346802471197,22,0.025974025974025976
2629,moją,24,0.004007346802471197,24,0.02833530106257379
2063,książeczkę,24,0.004007346802471197,23,0.02715466351829988
4873,tym,23,0.0038403740190348975,20,0.023612750885478158
4725,te,23,0.0038403740190348975,20,0.023612750885478158
134,babcią,23,0.0038403740190348975,21,0.024793388429752067
738,czemu,23,0.0038403740190348975,21,0.024793388429752067
528,chciałem,23,0.0038403740190348975,15,0.01770956316410862
2971,obiadek,23,0.0038403740190348975,21,0.024793388429752067
3242,patrz,22,0.0036734012355985972,19,0.02243211334120425
2698,myć,22,0.0036734012355985972,21,0.024793388429752067
5691,zmęczony,22,0.0036734012355985972,20,0.023612750885478158
3340,piesek,22,0.0036734012355985972,20,0.023612750885478158
634,cie,22,0.0036734012355985972,15,0.01770956316410862
382,brum,22,0.0036734012355985972,8,0.009445100354191263
3417,piłkę,22,0.0036734012355985972,19,0.02243211334120425
4073,robisz,22,0.0036734012355985972,22,0.025974025974025976
2670,musisz,21,0.0035064284521622974,18,0.021251475796930343
5658,zjem,21,0.0035064284521622974,20,0.023612750885478158
5690,zmęczona,21,0.0035064284521622974,19,0.02243211334120425
1589,jeździć,21,0.0035064284521622974,20,0.023612750885478158
4728,tej,21,0.0035064284521622974,20,0.023612750885478158
2418,mamą,21,0.0035064284521622974,19,0.02243211334120425
1559,jej,21,0.0035064284521622974,17,0.020070838252656435
1965,kotka,20,0.0033394556687259976,18,0.021251475796930343
3807,przecież,20,0.0033394556687259976,17,0.020070838252656435
2084,kuba,20,0.0033394556687259976,13,0.015348288075560802
2183,lala,20,0.0033394556687259976,16,0.018890200708382526
4986,umiem,20,0.0033394556687259976,18,0.021251475796930343
1133,fajnie,20,0.0033394556687259976,15,0.01770956316410862
4682,taka,20,0.0033394556687259976,16,0.018890200708382526
1036,dzień,20,0.0033394556687259976,17,0.020070838252656435
2136,kupiłaś,19,0.003172482885289698,14,0.01652892561983471
3464,pobaw,19,0.003172482885289698,17,0.020070838252656435
5211,wróci,19,0.003172482885289698,18,0.021251475796930343
542,chlebek,19,0.003172482885289698,18,0.021251475796930343
2669,musimy,19,0.003172482885289698,17,0.020070838252656435
4340,sklepie,19,0.003172482885289698,19,0.02243211334120425
1273,grać,19,0.003172482885289698,17,0.020070838252656435
3099,ona,19,0.003172482885289698,16,0.018890200708382526
804,dasz,19,0.003172482885289698,18,0.021251475796930343
5252,wujek,19,0.003172482885289698,17,0.020070838252656435
1293,grzeczna,18,0.003005510101853398,16,0.018890200708382526
5774,zuzia,18,0.003005510101853398,13,0.015348288075560802
